Team,Season,PlayerName,DateOfBirth,Position,ShirtNumber,Nationality,CurrentClub,ClubLeague,Height,Weight,PreferredFoot
Algeria,2026,Player ALG-1,11/05/1998,DF,1,Algeria,Manchester City,Premier League,181,71,Right
Algeria,2026,Player ALG-2,12/05/1998,DF,2,Algeria,Bayern Munich,Bundesliga,182,72,Right
Algeria,2026,Player ALG-3,13/05/1998,DF,3,Algeria,PSG,Ligue 1,183,73,Left
Algeria,2026,Player ALG-4,14/05/1998,MF,4,Algeria,Inter Milan,Serie A,184,74,Right
Algeria,2026,Player ALG-5,15/05/1998,MF,5,Algeria,Al-Hilal,Saudi Pro League,185,75,Right
Algeria,2026,Player ALG-6,16/05/1998,MF,6,Algeria,Real Madrid,LaLiga,186,76,Right
Algeria,2026,Player ALG-7,17/05/1998,FW,7,Algeria,Manchester City,Premier League,187,77,Left
Algeria,2026,Player ALG-8,18/05/1998,FW,8,Algeria,Bayern Munich,Bundesliga,188,78,Right
Algeria,2026,Player ALG-9,19/05/1998,FW,9,Algeria,PSG,Ligue 1,189,79,Right
Algeria,2026,Player ALG-10,20/05/1998,GK,10,Algeria,Inter Milan,Serie A,192,86,Right
Algeria,2026,Player ALG-11,21/05/1998,DF,11,Algeria,Al-Hilal,Saudi Pro League,191,81,Left
Algeria,2026,Player ALG-12,22/05/1998,DF,12,Algeria,Real Madrid,LaLiga,192,82,Right
Algeria,2026,Player ALG-13,23/05/1998,DF,13,Algeria,Manchester City,Premier League,193,83,Right
Algeria,2026,Player ALG-14,24/05/1998,MF,14,Algeria,Bayern Munich,Bundesliga,194,84,Right
Algeria,2026,Player ALG-15,25/05/1998,MF,15,Algeria,PSG,Ligue 1,180,85,Right
Algeria,2026,Player ALG-16,26/05/1998,MF,16,Algeria,Inter Milan,Serie A,181,86,Right
Algeria,2026,Player ALG-17,27/05/1998,FW,17,Algeria,Al-Hilal,Saudi Pro League,182,87,Right
Algeria,2026,Player ALG-18,10/05/1998,FW,18,Algeria,Real Madrid,LaLiga,183,70,Right
Algeria,2026,Player ALG-19,11/05/1998,FW,19,Algeria,Manchester City,Premier League,184,71,Right
Algeria,2026,Player ALG-20,12/05/1998,GK,20,Algeria,Bayern Munich,Bundesliga,192,86,Right
Algeria,2026,Player ALG-21,13/05/1998,DF,21,Algeria,PSG,Ligue 1,186,73,Left
Algeria,2026,Player ALG-22,14/05/1998,DF,22,Algeria,Inter Milan,Serie A,187,74,Right
Algeria,2026,Player ALG-23,15/05/1998,DF,23,Algeria,Al-Hilal,Saudi Pro League,188,75,Right
Algeria,2026,Player ALG-24,16/05/1998,MF,24,Algeria,Real Madrid,LaLiga,189,76,Right
Algeria,2026,Player ALG-25,17/05/1998,MF,25,Algeria,Manchester City,Premier League,190,77,Right
Algeria,2026,Player ALG-26,18/05/1998,MF,26,Algeria,Bayern Munich,Bundesliga,191,78,Right
Argentina,2026,Player ARG-1,11/05/1998,DF,1,Argentina,Manchester City,Premier League,181,71,Right
Argentina,2026,Player ARG-2,12/05/1998,DF,2,Argentina,Bayern Munich,Bundesliga,182,72,Right
Argentina,2026,Player ARG-3,13/05/1998,DF,3,Argentina,PSG,Ligue 1,183,73,Left
Argentina,2026,Player ARG-4,14/05/1998,MF,4,Argentina,Inter Milan,Serie A,184,74,Right
Argentina,2026,Player ARG-5,15/05/1998,MF,5,Argentina,Al-Hilal,Saudi Pro League,185,75,Right
Argentina,2026,Player ARG-6,16/05/1998,MF,6,Argentina,Real Madrid,LaLiga,186,76,Right
Argentina,2026,Player ARG-7,17/05/1998,FW,7,Argentina,Manchester City,Premier League,187,77,Left
Argentina,2026,Player ARG-8,18/05/1998,FW,8,Argentina,Bayern Munich,Bundesliga,188,78,Right
Argentina,2026,Player ARG-9,19/05/1998,FW,9,Argentina,PSG,Ligue 1,189,79,Right
Argentina,2026,Player ARG-10,20/05/1998,GK,10,Argentina,Inter Milan,Serie A,192,86,Right
Argentina,2026,Player ARG-11,21/05/1998,DF,11,Argentina,Al-Hilal,Saudi Pro League,191,81,Left
Argentina,2026,Player ARG-12,22/05/1998,DF,12,Argentina,Real Madrid,LaLiga,192,82,Right
Argentina,2026,Player ARG-13,23/05/1998,DF,13,Argentina,Manchester City,Premier League,193,83,Right
Argentina,2026,Player ARG-14,24/05/1998,MF,14,Argentina,Bayern Munich,Bundesliga,194,84,Right
Argentina,2026,Player ARG-15,25/05/1998,MF,15,Argentina,PSG,Ligue 1,180,85,Right
Argentina,2026,Player ARG-16,26/05/1998,MF,16,Argentina,Inter Milan,Serie A,181,86,Right
Argentina,2026,Player ARG-17,27/05/1998,FW,17,Argentina,Al-Hilal,Saudi Pro League,182,87,Right
Argentina,2026,Player ARG-18,10/05/1998,FW,18,Argentina,Real Madrid,LaLiga,183,70,Right
Argentina,2026,Player ARG-19,11/05/1998,FW,19,Argentina,Manchester City,Premier League,184,71,Right
Argentina,2026,Player ARG-20,12/05/1998,GK,20,Argentina,Bayern Munich,Bundesliga,192,86,Right
Argentina,2026,Player ARG-21,13/05/1998,DF,21,Argentina,PSG,Ligue 1,186,73,Left
Argentina,2026,Player ARG-22,14/05/1998,DF,22,Argentina,Inter Milan,Serie A,187,74,Right
Argentina,2026,Player ARG-23,15/05/1998,DF,23,Argentina,Al-Hilal,Saudi Pro League,188,75,Right
Argentina,2026,Player ARG-24,16/05/1998,MF,24,Argentina,Real Madrid,LaLiga,189,76,Right
Argentina,2026,Player ARG-25,17/05/1998,MF,25,Argentina,Manchester City,Premier League,190,77,Right
Argentina,2026,Player ARG-26,18/05/1998,MF,26,Argentina,Bayern Munich,Bundesliga,191,78,Right
Brazil,2026,Player BRA-1,11/05/1998,DF,1,Brazil,Manchester City,Premier League,181,71,Right
Brazil,2026,Player BRA-2,12/05/1998,DF,2,Brazil,Bayern Munich,Bundesliga,182,72,Right
Brazil,2026,Player BRA-3,13/05/1998,DF,3,Brazil,PSG,Ligue 1,183,73,Left
Brazil,2026,Player BRA-4,14/05/1998,MF,4,Brazil,Inter Milan,Serie A,184,74,Right
Brazil,2026,Player BRA-5,15/05/1998,MF,5,Brazil,Al-Hilal,Saudi Pro League,185,75,Right
Brazil,2026,Player BRA-6,16/05/1998,MF,6,Brazil,Real Madrid,LaLiga,186,76,Right
Brazil,2026,Player BRA-7,17/05/1998,FW,7,Brazil,Manchester City,Premier League,187,77,Left
Brazil,2026,Player BRA-8,18/05/1998,FW,8,Brazil,Bayern Munich,Bundesliga,188,78,Right
Brazil,2026,Player BRA-9,19/05/1998,FW,9,Brazil,PSG,Ligue 1,189,79,Right
Brazil,2026,Player BRA-10,20/05/1998,GK,10,Brazil,Inter Milan,Serie A,192,86,Right
Brazil,2026,Player BRA-11,21/05/1998,DF,11,Brazil,Al-Hilal,Saudi Pro League,191,81,Left
Brazil,2026,Player BRA-12,22/05/1998,DF,12,Brazil,Real Madrid,LaLiga,192,82,Right
Brazil,2026,Player BRA-13,23/05/1998,DF,13,Brazil,Manchester City,Premier League,193,83,Right
Brazil,2026,Player BRA-14,24/05/1998,MF,14,Brazil,Bayern Munich,Bundesliga,194,84,Right
Brazil,2026,Player BRA-15,25/05/1998,MF,15,Brazil,PSG,Ligue 1,180,85,Right
Brazil,2026,Player BRA-16,26/05/1998,MF,16,Brazil,Inter Milan,Serie A,181,86,Right
Brazil,2026,Player BRA-17,27/05/1998,FW,17,Brazil,Al-Hilal,Saudi Pro League,182,87,Right
Brazil,2026,Player BRA-18,10/05/1998,FW,18,Brazil,Real Madrid,LaLiga,183,70,Right
Brazil,2026,Player BRA-19,11/05/1998,FW,19,Brazil,Manchester City,Premier League,184,71,Right
Brazil,2026,Player BRA-20,12/05/1998,GK,20,Brazil,Bayern Munich,Bundesliga,192,86,Right
Brazil,2026,Player BRA-21,13/05/1998,DF,21,Brazil,PSG,Ligue 1,186,73,Left
Brazil,2026,Player BRA-22,14/05/1998,DF,22,Brazil,Inter Milan,Serie A,187,74,Right
Brazil,2026,Player BRA-23,15/05/1998,DF,23,Brazil,Al-Hilal,Saudi Pro League,188,75,Right
Brazil,2026,Player BRA-24,16/05/1998,MF,24,Brazil,Real Madrid,LaLiga,189,76,Right
Brazil,2026,Player BRA-25,17/05/1998,MF,25,Brazil,Manchester City,Premier League,190,77,Right
Brazil,2026,Player BRA-26,18/05/1998,MF,26,Brazil,Bayern Munich,Bundesliga,191,78,Right
France,2026,Player FRA-1,11/05/1998,DF,1,France,Manchester City,Premier League,181,71,Right
France,2026,Player FRA-2,12/05/1998,DF,2,France,Bayern Munich,Bundesliga,182,72,Right
France,2026,Player FRA-3,13/05/1998,DF,3,France,PSG,Ligue 1,183,73,Left
France,2026,Player FRA-4,14/05/1998,MF,4,France,Inter Milan,Serie A,184,74,Right
France,2026,Player FRA-5,15/05/1998,MF,5,France,Al-Hilal,Saudi Pro League,185,75,Right
France,2026,Player FRA-6,16/05/1998,MF,6,France,Real Madrid,LaLiga,186,76,Right
France,2026,Player FRA-7,17/05/1998,FW,7,France,Manchester City,Premier League,187,77,Left
