Team,Season,PlayerName,DateOfBirth,Position,ShirtNumber,Nationality,PreviousClub,Height,PreferredFoot,JoinDate
Arsenal,2014/15,Wojciech Szczesny,1990-04-18,Goalkeeper,1,Poland,Legia Warsaw,196,Right,2006-01-10
Arsenal,2014/15,Lukasz Fabianski,1985-04-18,Goalkeeper,21,Poland,Legia Warsaw,190,Right,2007-05-25
Arsenal,2014/15,Damian Martinez,1992-09-02,Goalkeeper,26,Argentina,Independiente,195,Right,2010-09-01
Arsenal,2014/15,Mathieu Debuchy,1985-07-28,Right Back,2,France,Lille,178,Right,2014-07-13
Arsenal,2014/15,Kieran Gibbs,1989-09-26,Left Back,3,England,Arsenal Academy,178,Left,2007-07-01
Arsenal,2014/15,Per Mertesacker,1984-09-29,Centre Back,4,Germany,Werder Bremen,198,Right,2011-08-31
Arsenal,2014/15,Laurent Koscielny,1985-09-10,Centre Back,6,France,Lorient,186,Right,2010-07-07
Arsenal,2014/15,Thomas Vermaelen,1985-11-14,Centre Back,5,Belgium,Ajax,183,Left,2009-06-20
Arsenal,2014/15,Nacho Monreal,1986-02-26,Left Back,18,Spain,Malaga,178,Left,2013-01-31
Arsenal,2014/15,Calum Chambers,1995-01-20,Centre Back,21,England,Southampton,183,Right,2014-07-28
Arsenal,2014/15,Hector Bellerin,1995-03-19,Right Back,39,Spain,Barcelona,178,Right,2011-07-15
Arsenal,2014/15,Mikel Arteta,1982-03-26,Defensive Midfielder,8,Spain,Everton,175,Right,2011-08-31
Arsenal,2014/15,Mathieu Flamini,1984-03-07,Defensive Midfielder,20,France,AC Milan,178,Right,2013-08-28
Arsenal,2014/15,Aaron Ramsey,1990-12-26,Central Midfielder,16,Wales,Cardiff City,178,Both,2008-06-01
Arsenal,2014/15,Jack Wilshere,1992-01-01,Central Midfielder,10,England,Arsenal Academy,173,Left,2008-07-01
Arsenal,2014/15,Abou Diaby,1986-05-11,Central Midfielder,2,France,Auxerre,190,Right,2006-01-13
Arsenal,2014/15,Tomas Rosicky,1980-10-04,Attacking Midfielder,7,Czech Republic,Borussia Dortmund,180,Both,2006-05-23
Arsenal,2014/15,Mesut Ozil,1988-10-15,Attacking Midfielder,11,Germany,Real Madrid,180,Left,2013-09-02
Arsenal,2014/15,Santi Cazorla,1984-12-13,Attacking Midfielder,19,Spain,Malaga,168,Both,2012-08-07
Arsenal,2014/15,Alex Oxlade-Chamberlain,1993-08-15,Winger,15,England,Southampton,180,Right,2011-08-08
