Div,Season,GW,Stage,Group,Leg,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee
Champions League,2023-24,1,GS,A,,19/09/2023,Bayern Munich,Manchester United,4,3,H,Clément Turpin
Champions League,2023-24,1,GS,A,,19/09/2023,FC Copenhagen,Galatasaray,0,0,D,Davide Massa
Champions League,2023-24,1,GS,B,,19/09/2023,Arsenal,PSV Eindhoven,4,0,H,François Letexier
Champions League,2023-24,1,GS,B,,19/09/2023,Sevilla,RC Lens,1,1,D,Sandro Schärer
Champions League,2023-24,2,GS,A,,03/10/2023,Galatasaray,Bayern Munich,1,3,A,Anthony Taylor
Champions League,2023-24,2,GS,A,,03/10/2023,Manchester United,FC Copenhagen,1,0,H,Artur Soares Dias
Champions League,2023-24,2,GS,B,,03/10/2023,PSV Eindhoven,Sevilla,2,2,D,István Kovács
Champions League,2023-24,2,GS,B,,03/10/2023,RC Lens,Arsenal,1,2,A,Marco Guida
Champions League,2023-24,3,GS,A,,24/10/2023,Manchester United,FC Copenhagen,1,0,H,Slavko Vinčić
Champions League,2023-24,3,GS,A,,24/10/2023,Bayern Munich,Galatasaray,2,1,H,Clément Turpin
