Div,Season,GW,Stage,Group,Leg,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee
Champions League,2023-24,9,R16,,1,13/02/2024,Paris Saint-Germain,Real Sociedad,2,0,H,Slavko Vinčić
Champions League,2023-24,9,R16,,1,13/02/2024,Lazio,Bayern Munich,0,1,A,François Letexier
Champions League,2023-24,9,R16,,1,14/02/2024,FC Copenhagen,Manchester City,1,3,A,Clément Turpin
Champions League,2023-24,9,R16,,1,14/02/2024,RB Leipzig,Real Madrid,0,1,A,Michael Oliver
Champions League,2023-24,10,R16,,2,06/03/2024,Real Sociedad,Paris Saint-Germain,1,2,A,Szymon Marciniak
Champions League,2023-24,10,R16,,2,06/03/2024,Bayern Munich,Lazio,3,0,H,Danny Makkelie
Champions League,2023-24,10,R16,,2,06/03/2024,Manchester City,FC Copenhagen,3,1,H,Espen Eskas
Champions League,2023-24,10,R16,,2,06/03/2024,Real Madrid,RB Leipzig,1,1,D,István Kovács
Champions League,2023-24,11,QF,,1,09/04/2024,Arsenal,Bayern Munich,2,2,D,Glenn Nyberg
Champions League,2023-24,11,QF,,1,10/04/2024,Real Madrid,Manchester City,3,3,D,François Letexier
Champions League,2023-24,12,QF,,2,17/04/2024,Bayern Munich,Arsenal,1,0,H,Slavko Vinčić
Champions League,2023-24,12,QF,,2,17/04/2024,Manchester City,Real Madrid,1,1,D,Clément Turpin
Champions League,2023-24,13,SF,,1,30/04/2024,Paris Saint-Germain,Borussia Dortmund,0,1,A,Anthony Taylor
Champions League,2023-24,14,SF,,2,07/05/2024,Borussia Dortmund,Paris Saint-Germain,1,0,H,Daniele Orsato
Champions League,2023-24,15,F,,,01/06/2024,Borussia Dortmund,Real Madrid,0,2,A,Slavko Vinčić
