Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG
SP1,2022/23,12/08/2022,Osasuna,Sevilla,1,2
SP1,2022/23,13/08/2022,Celta,Espanyol,0,2
SP1,2022/23,13/08/2022,Real Sociedad,Cadiz,1,0
SP1,2022/23,13/08/2022,Vallecano,Barcelona,0,0
SP1,2022/23,13/08/2022,Almeria,Real Madrid,1,2
SP1,2022/23,14/08/2022,Ath Bilbao,Mallorca,0,0
SP1,2022/23,14/08/2022,Betis,Elche,3,0
SP1,2022/23,14/08/2022,Getafe,Ath Madrid,0,3
SP1,2022/23,14/08/2022,Valladolid,Villarreal,0,3
SP1,2022/23,15/08/2022,Valencia,Girona,1,0
SP1,2022/23,19/08/2022,Cadiz,Osasuna,0,2
SP1,2022/23,19/08/2022,Espanyol,Real Sociedad,2,2
SP1,2022/23,20/08/2022,Ath Madrid,Villarreal,2,2
SP1,2022/23,20/08/2022,Barcelona,Real Sociedad,4,1
SP1,2022/23,20/08/2022,Elche,Almeria,1,1
SP1,2022/23,20/08/2022,Girona,Getafe,2,2
SP1,2022/23,21/08/2022,Mallorca,Betis,1,2
SP1,2022/23,21/08/2022,Real Madrid,Celta,4,1
SP1,2022/23,21/08/2022,Sevilla,Valladolid,1,1
SP1,2022/23,21/08/2022,Villarreal,Ath Bilbao,2,1
