Team,Season,PlayerName,DateOfBirth,Position,ShirtNumber,Nationality,CurrentClub,ClubLeague,Height,Weight,PreferredFoot
Belgium,2022,T. Courtois,N/A,GK,1.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,S. Lammens,N/A,GK,12.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,M. Penders,N/A,GK,13.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,T. Castagne,N/A,DF,21.0,Belgium,Club Data,League Data,180,75,Left
Belgium,2022,M. De Cuyper,N/A,DF,5.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,K. De Winter,N/A,DF,16.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,Z. Debast,N/A,DF,2.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,B. Mechele,N/A,DF,4.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,T. Meunier,N/A,DF,15.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,N. Ngoy,N/A,DF,25.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,J. Seys,N/A,DF,18.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,A. Theate,N/A,DF,3.0,Belgium,Club Data,League Data,180,75,Left
Belgium,2022,K. De Bruyne,N/A,MF,7.0,Belgium,Club Data,League Data,180,75,Left
Belgium,2022,A. Onana,N/A,MF,24.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,N. Raskin,N/A,MF,23.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,A. Saelemaekers,N/A,FW,22.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,Y. Tielemans,N/A,MF,8.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,D. Moreira,N/A,FW,19.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,H. Vanaken,N/A,MF,20.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,A. Witsel,N/A,MF,6.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,J. Doku,N/A,MF,11.0,Belgium,Club Data,League Data,180,75,Left
Belgium,2022,M. Fernandez-Pardo,N/A,FW,26.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,R. Lukaku,N/A,FW,9.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,D. Lukebakio,N/A,FW,14.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,C. De Ketelaere,N/A,FW,17.0,Belgium,Club Data,League Data,180,75,Right
Belgium,2022,L. Trossard,N/A,MF,10.0,Belgium,Club Data,League Data,180,75,Right
France,2022,M. Maignan,N/A,GK,16.0,France,Club Data,League Data,180,75,Right
France,2022,R. Risser,N/A,GK,23.0,France,Club Data,League Data,180,75,Right
France,2022,B. Samba,N/A,GK,1.0,France,Club Data,League Data,180,75,Right
France,2022,L. Digne,N/A,DF,3.0,France,Club Data,League Data,180,75,Left
France,2022,M. Gusto,N/A,DF,2.0,France,Club Data,League Data,180,75,Right
France,2022,L. Hernández,N/A,DF,21.0,France,Club Data,League Data,180,75,Left
France,2022,T. Hernández,N/A,DF,19.0,France,Club Data,League Data,180,75,Right
France,2022,I. Konaté,N/A,DF,15.0,France,Club Data,League Data,180,75,Right
France,2022,J. Koundé,N/A,DF,5.0,France,Club Data,League Data,180,75,Right
France,2022,M. Lacroix,N/A,DF,26.0,France,Club Data,League Data,180,75,Right
France,2022,W. Saliba,N/A,DF,17.0,France,Club Data,League Data,180,75,Right
France,2022,D. Upamecano,N/A,DF,4.0,France,Club Data,League Data,180,75,Right
France,2022,R. Cherki,N/A,MF,24.0,France,Club Data,League Data,180,75,Right
France,2022,N. Kanté,N/A,MF,13.0,France,Club Data,League Data,180,75,Right
France,2022,M. Koné,N/A,MF,6.0,France,Club Data,League Data,180,75,Right
France,2022,A. Rabiot,N/A,MF,14.0,France,Club Data,League Data,180,75,Right
France,2022,A. Tchouaméni,N/A,MF,8.0,France,Club Data,League Data,180,75,Right
France,2022,W. Zaïre-Emery,N/A,MF,18.0,France,Club Data,League Data,180,75,Right
France,2022,M. Akliouche,N/A,MF,25.0,France,Club Data,League Data,180,75,Right
France,2022,B. Barcola,N/A,FW,12.0,France,Club Data,League Data,180,75,Right
France,2022,J. Mateta,N/A,FW,22.0,France,Club Data,League Data,180,75,Right
France,2022,O. Dembélé,N/A,FW,7.0,France,Club Data,League Data,180,75,Left
France,2022,D. Doué,N/A,FW,20.0,France,Club Data,League Data,180,75,Right
France,2022,Kylian Mbappé,N/A,FW,10.0,France,Club Data,League Data,180,75,Right
France,2022,M. Thuram,N/A,MF,9.0,France,Club Data,League Data,180,75,Right
France,2022,M. Olise,N/A,MF,11.0,France,Club Data,League Data,180,75,Left
Croatia,2022,D. Kotarski,N/A,GK,23.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,D. Livakovic,N/A,GK,1.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,I. Pandur,N/A,GK,12.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,D. Caleta-Car,N/A,DF,5.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,M. Erlic,N/A,DF,25.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,J. Gvardiol,N/A,DF,4.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,M. Pongracic,N/A,DF,3.0,Croatia,Club Data,League Data,180,75,Left
Croatia,2022,J. Stanisic,N/A,MF,2.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,J. Sutalo,N/A,DF,6.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,L. Vuskovic,N/A,DF,22.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,M. Baturina,N/A,FW,16.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,T. Fruk,N/A,MF,19.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,K. Jakic,N/A,MF,18.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,M. Kovacic,N/A,MF,8.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,L. Modric,N/A,MF,10.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,N. Moro,N/A,MF,7.0,Croatia,Club Data,League Data,180,75,Left
Croatia,2022,M. Pasalic,N/A,MF,15.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,L. Sucic,N/A,MF,21.0,Croatia,Club Data,League Data,180,75,Left
Croatia,2022,P. Sucic,N/A,FW,17.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,N. Vlasic,N/A,MF,13.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,A. Budimir,N/A,FW,11.0,Croatia,Club Data,League Data,180,75,Left
Croatia,2022,A. Kramaric,N/A,FW,9.0,Croatia,Club Data,League Data,180,75,Right
